"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"WIH2_2020","B73/PHM49",72,74,2,261.5,125,0.478011472,12.71,24.05,669.34
"WIH2_2020","B73/TX779",66.9234,68.5886,1.6652,296.8,130.7955,0.607816712,8.71,23.45568,671.91
"WIH2_2020","F42/OH43",67.5,70,2.5,244,114,0.467213115,12.43,27.45,661.61
"WIH2_2020","TX714/TX779",66.9234,68.5886,3.3,292.6,130.7955,0.61722488,9.65,25.33,669.77
"WIH2_2020","TX777/LH195",66.9234,68.5886,2.8,301,176.1,0.585049834,9.89,22.6,673.2
"WIH2_2020","TX779/LH195",66.9234,68.5886,2.8,277.6,162,0.583573487,10.96,28.4,656.98
"WIH2_2020","W10004_0006/PHK76",65,67,2,262,130,0.496183206,11.99,22.4,732.41
"WIH2_2020","W10004_0006/PHZ51",67,69,2,285,133,0.466666667,12.92,23.6,659.04
"WIH2_2020","W10004_0007/PHK76",65,65,0,273,147,0.538461538,13.69,21.8,701.52
"WIH2_2020","W10004_0007/PHZ51",69,71,2,270,135,0.5,4.2,23.4,736.27
"WIH2_2020","W10004_0008/PHK76",66,67,1,255,140,0.549019608,10.38,21.8,728.55
"WIH2_2020","W10004_0008/PHZ51",69,70,1,287,159,0.554006969,9.03,22.7,706.66
"WIH2_2020","W10004_0010/PHZ51",69,72,3,273,143,0.523809524,9.89,22.3,724.69
"WIH2_2020","W10004_0011/PHK76",66,68,2,268,130,0.485074627,10.88,23.9,710.53
"WIH2_2020","W10004_0011/PHZ51",68,70,2,280,155,0.553571429,6.86,24.2,706.66
"WIH2_2020","W10004_0013/PHK76",67,68,1,280.5,143,0.509803922,7.07,25,720.82
"WIH2_2020","W10004_0013/PHZ51",66,69,3,232,110,0.474137931,10.98214,21.1,697.65
"WIH2_2020","W10004_0014/PHK76",69,69,0,285,157,0.550877193,13.15,24.5,705.38
"WIH2_2020","W10004_0014/PHZ51",69,70.5,1.5,285,145.5,0.510526316,11.81,23.15,700.23
"WIH2_2020","W10004_0018/PHK76",69,69.5,0.5,254.5,130.5,0.512770138,11.24,23.45,730.48
"WIH2_2020","W10004_0026/PHK76",67,68,1,262,114,0.435114504,10.63,22.5,741.42
"WIH2_2020","W10004_0026/PHZ51",69,70,1,277,128,0.462093863,8.37,24.1,697.65
"WIH2_2020","W10004_0027/PHK76",65,67,2,235,103,0.438297872,9.3,21.5,715.67
"WIH2_2020","W10004_0031/PHK76",69,69,0,285,157,0.550877193,12.09,24.4,714.39
"WIH2_2020","W10004_0031/PHZ51",71,71,0,285,167,0.585964912,13.3,23.2,707.95
"WIH2_2020","W10004_0032/PHK76",65,67,2,253,129,0.509881423,8.64,23.7,719.54
"WIH2_2020","W10004_0032/PHZ51",68,68,0,264,139,0.526515152,12.86,22.5,700.23
"WIH2_2020","W10004_0034/PHK76",67,68,1,247,112,0.453441296,12.62,22.9,671.91
"WIH2_2020","W10004_0034/PHZ51",71,73,2,290,148,0.510344828,15.53,25.1,680.92
"WIH2_2020","W10004_0035/PHK76",67,68,1,276,126,0.456521739,14.06,24.1,715.67
"WIH2_2020","W10004_0037/PHK76",65,67,2,269,129,0.479553903,11.69,22.9,733.7
"WIH2_2020","W10004_0037/PHZ51",70,72,2,266,141,0.530075188,8.72,23.8,733.7
"WIH2_2020","W10004_0038/PHK76",66,67,1,243,137,0.563786008,10.74,20.9,734.98
"WIH2_2020","W10004_0038/PHZ51",68,71,3,272,150,0.551470588,8.38,21.4,696.37
"WIH2_2020","W10004_0039/PHK76",68,68,0,263,147,0.558935361,6.92,22.8,719.54
"WIH2_2020","W10004_0039/PHZ51",69,71,2,290,148,0.510344828,10.64,22.3,737.56
"WIH2_2020","W10004_0041/PHK76",65,67,2,262,133,0.507633588,11.42,26,683.5
"WIH2_2020","W10004_0041/PHZ51",68,71,3,282,140,0.496453901,10.66,22.3,698.94
"WIH2_2020","W10004_0042/PHK76",65,67,2,258,121,0.468992248,8.84,23.1,714.39
