"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"IAH3_2021","B73/PHM49",NA,NA,NA,295.6,154.8,0.52368065,14.15,17.06,737.07
"IAH3_2021","B73/TX779",NA,NA,NA,288.8,163,0.564404432,4.79,15.7595,739.72782
"IAH3_2021","F42/OH43",NA,NA,NA,293,140.1,0.478156997,11.27,17.58,726.13
"IAH3_2021","TX714/TX779",NA,NA,NA,291.6,180.8,0.620027435,10.4524,16.04,739.72782
"IAH3_2021","TX777/LH195",NA,NA,NA,304.1,163.4,0.537323249,10.4524,15.7595,739.72782
"IAH3_2021","TX779/LH195",NA,NA,NA,260,147.3,0.566538462,7.26,15.7595,678.19
"IAH3_2021","W10004_0006/PHK76",NA,NA,NA,262,120,0.458015267,13.21,15.3,740.13
"IAH3_2021","W10004_0006/PHZ51",NA,NA,NA,288,140,0.486111111,8.81,15.3,740.13
"IAH3_2021","W10004_0007/PHK76",NA,NA,NA,256,121,0.47265625,11.39,15.9,750.43
"IAH3_2021","W10004_0007/PHZ51",NA,NA,NA,287,150,0.522648084,13.55,15.2,768.45
"IAH3_2021","W10004_0008/PHK76",NA,NA,NA,269,136.5,0.507434944,12.62,15.55,765.88
"IAH3_2021","W10004_0008/PHZ51",NA,NA,NA,310,145,0.467741935,9.73,15.4,742.71
"IAH3_2021","W10004_0010/PHZ51",NA,NA,NA,312,162,0.519230769,10.4524,15.8,739.72782
"IAH3_2021","W10004_0011/PHK76",NA,NA,NA,256,138,0.5390625,9.94,16.2,771.02
"IAH3_2021","W10004_0011/PHZ51",NA,NA,NA,322,142,0.440993789,7.02,15.2,749.14
"IAH3_2021","W10004_0013/PHK76",NA,NA,NA,270,142,0.525925926,6.25,15,751.72
"IAH3_2021","W10004_0013/PHZ51",NA,NA,NA,297,145,0.488215488,7.12,14.6,728.55
"IAH3_2021","W10004_0014/PHK76",NA,NA,NA,286,169,0.590909091,12.12,15.8,767.16
"IAH3_2021","W10004_0014/PHZ51",NA,NA,NA,311,143,0.459807074,9,15.6,733.7
