"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"IAH2_2021","TX777/LH195",NA,NA,NA,260.5,138.9,0.533205374,6.51,15.66295,739.87723
"IAH2_2021","F42/OH43",NA,NA,NA,239.5,114.3,0.477244259,10.42,17.58,720.82
"IAH2_2021","B73/TX779",NA,NA,NA,283.9,112.6584,0.557590701,8.59,15.66295,712.55
"IAH2_2021","B73/PHM49",NA,NA,NA,258.8,120.6,0.465996909,13.47,15.66295,735.79
"IAH2_2021","TX714/TX779",NA,NA,NA,277.9,112.6584,0.475535290584,10.70292,15.66295,739.87723
"IAH2_2021","TX779/LH195",NA,NA,NA,244,137.5,0.56352459,12.27,15.66295,696.05
"IAH2_2021","W10004_0732/PHZ51",NA,NA,NA,250,127,0.508,10.96,15.4,753
"IAH2_2021","W10004_0858/PHZ51",NA,NA,NA,264,137,0.518939394,9.56,15.8,737.56
"IAH2_2021","W10004_0712/PHZ51",NA,NA,NA,260,137,0.526923077,11.96,15.85,753.65
"IAH2_2021","W10004_0965/PHZ51",NA,NA,NA,244,115,0.471311475,8.5,15.45,723.4
"IAH2_2021","W10004_1123/PHZ51",NA,NA,NA,197,94.5,0.479695431,7.42,15.35,735.63
"IAH2_2021","W10004_0199/PHZ51",NA,NA,NA,280,141,0.503571429,10.23,15.2,718.25
"IAH2_2021","W10004_0891/PHZ51",NA,NA,NA,256,126,0.4921875,11.39,16.3,754.29
"IAH2_2021","W10004_0487/PHZ51",NA,NA,NA,256.5,126.5,0.493177388,11.12,15.3,730.48
"IAH2_2021","W10004_0840/PHZ51",NA,NA,NA,234,115,0.491452991,8.92,15,714.39
"IAH2_2021","W10004_0684/PHK76",NA,NA,NA,230,92,0.4,9.07,16,758.15
"IAH2_2021","W10004_0877/PHK76",NA,NA,NA,215,115,0.534883721,10.36,15.5,727.26
"IAH2_2021","W10004_1011/PHK76",NA,NA,NA,232,120,0.517241379,9.77,15.4,741.42
"IAH2_2021","W10004_0943/PHK76",NA,NA,NA,247,105,0.425101215,9.7,16.45,781.32
"IAH2_2021","W10004_0065/PHK76",NA,NA,NA,195,102,0.523076923,9.36,15.5,728.55
"IAH2_2021","W10004_1057/PHK76",NA,NA,NA,226.5,97.5,0.430463576,10.18,15.55,781.32
"IAH2_2021","W10004_0876/PHK76",NA,NA,NA,231.5,106.5,0.460043197,11.24,15.8,765.88
"IAH2_2021","W10004_0614/PHK76",NA,NA,NA,241,101,0.419087137,10.06,15.6,747.85
"IAH2_2021","W10004_0361/PHZ51",NA,NA,NA,261,120,0.459770115,9.54,15.3,751.72
"IAH2_2021","W10004_0039/PHZ51",NA,NA,NA,257,135,0.525291829,10.70292,14.8,734.98
"IAH2_2021","W10004_0430/PHZ51",NA,NA,NA,273,130,0.476190476,10.70292,15.4,754.29
"IAH2_2021","W10004_0026/PHZ51",NA,NA,NA,255.5,125,0.489236791,9.53,15.45,737.56
"IAH2_2021","W10004_0673/PHZ51",NA,NA,NA,255.5,119,0.465753425,9.18,16.65,727.26
"IAH2_2021","W10004_0346/PHZ51",NA,NA,NA,249,112,0.449799197,8.52,14.7,710.53
"IAH2_2021","W10004_0826/PHZ51",NA,NA,NA,253,139,0.549407115,10.54,15.6,765.88
"IAH2_2021","W10004_0072/PHZ51",NA,NA,NA,268,145,0.541044776,11.59,15.1,745.28
"IAH2_2021","W10004_0843/PHK76",NA,NA,NA,200,92,0.46,9.59,15.8,745.28
"IAH2_2021","W10004_0238/PHK76",NA,NA,NA,247,100,0.4048583,8.51,15.6,771.02
"IAH2_2021","W10004_0270/PHK76",NA,NA,NA,205,83,0.404878049,9.79,15.8,771.02
"IAH2_2021","W10004_0027/PHK76",NA,NA,NA,232,110,0.474137931,9.99,15.2,723.4
"IAH2_2021","W10004_0192/PHK76",NA,NA,NA,233,112,0.480686695,11.21,15.8,745.28
"IAH2_2021","W10004_0756/PHK76",NA,NA,NA,244,120,0.491803279,10.7,15.6,745.28
"IAH2_2021","W10004_0950/PHK76",NA,NA,NA,203,94,0.463054187,8.72,15.35,763.94
